TV ONE,Kabar Utama Pagi,2023.11.09 08:30:00,2023.11.09 09:29:59,News,FUSENRmfd0
TV ONE,Hidup Sehat,2023.11.09 09:30:00,2023.11.09 09:59:59,General Entertainment,FUSENRmfd0
TV ONE,Inspirasi Pagi,2023.11.09 10:00:00,2023.11.09 10:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara Siang,2023.11.09 10:30:00,2023.11.09 10:59:59,News,FUSENRmfd0
TV ONE,Kabar Siang,2023.11.09 11:00:00,2023.11.09 12:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Siang,2023.11.09 13:00:00,2023.11.09 14:29:59,News,FUSENRmfd0
TV ONE,Kabar Pem1lu,2023.11.09 14:30:00,2023.11.09 14:59:59,General Entertainment,FUSENRmfd0
TV ONE,Nusantara Terkini,2023.11.09 15:00:00,2023.11.09 15:29:59,News,FUSENRmfd0
TV ONE,Ragam Perkara,2023.11.09 15:30:00,2023.11.09 15:59:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.09 16:00:00,2023.11.09 17:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Malam,2023.11.09 18:00:00,2023.11.09 19:59:59,News,FUSENRmfd0
TV ONE,Dua Sisi,2023.11.09 20:00:00,2023.11.09 20:59:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.09 21:00:00,2023.11.09 21:59:59,News,FUSENRmfd0
TV ONE,Cover Story One 2,2023.11.09 22:00:00,2023.11.09 22:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.09 22:30:00,2023.11.09 23:29:59,News,FUSENRmfd0
TV ONE,Kabar Arena Malam,2023.11.09 23:30:00,2023.11.09 23:59:59,News,FUSENRmfd0
TV ONE,AB Shop,2023.11.10 00:00:00,2023.11.10 00:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.10 00:30:00,2023.11.10 00:59:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.10 01:00:00,2023.11.10 01:29:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.10 01:30:00,2023.11.10 02:59:59,News,FUSENRmfd0
TV ONE,Kabar Utama 2 ,2023.11.10 03:00:00,2023.11.10 03:29:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.10 03:30:00,2023.11.10 03:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.10 04:00:00,2023.11.10 04:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Pagi ,2023.11.10 04:30:00,2023.11.10 05:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2 ,2023.11.10 06:00:00,2023.11.10 06:29:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Pagi ,2023.11.10 06:30:00,2023.11.10 08:29:59,News,FUSENRmfd0
TV ONE,Kabar Utama Pagi,2023.11.10 08:30:00,2023.11.10 09:29:59,News,FUSENRmfd0
TV ONE,Hidup Sehat,2023.11.10 09:30:00,2023.11.10 10:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara Siang,2023.11.10 10:30:00,2023.11.10 10:59:59,News,FUSENRmfd0
TV ONE,Kabar Siang,2023.11.10 11:00:00,2023.11.10 12:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Siang,2023.11.10 13:00:00,2023.11.10 14:29:59,News,FUSENRmfd0
TV ONE,Kabar Pem1lu,2023.11.10 14:30:00,2023.11.10 15:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara,2023.11.10 15:30:00,2023.11.10 15:59:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.10 16:00:00,2023.11.10 17:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Malam,2023.11.10 18:00:00,2023.11.10 19:59:59,News,FUSENRmfd0
TV ONE,Menuju Pemilu,2023.11.10 20:00:00,2023.11.10 21:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.10 21:30:00,2023.11.10 21:59:59,News,FUSENRmfd0
TV ONE,Telusur 3,2023.11.10 22:00:00,2023.11.10 22:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.10 22:30:00,2023.11.10 23:29:59,News,FUSENRmfd0
TV ONE,Kabar Arena Malam,2023.11.10 23:30:00,2023.11.10 23:59:59,News,FUSENRmfd0
TV ONE,AB Shop,2023.11.11 00:00:00,2023.11.11 00:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.11 00:30:00,2023.11.11 00:59:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.11 01:00:00,2023.11.11 01:29:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.11 01:30:00,2023.11.11 02:59:59,News,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.11 03:00:00,2023.11.11 03:29:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.11 03:30:00,2023.11.11 03:59:59,News,FUSENRmfd0
TV ONE,Tausiah Subuh,2023.11.11 04:00:00,2023.11.11 04:29:59,Religi,FUSENRmfd0
TV ONE,Kabar Pagi,2023.11.11 04:30:00,2023.11.11 05:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.11 06:00:00,2023.11.11 06:29:59,General Entertainment,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Pagi,2023.11.11 06:30:00,2023.11.11 07:59:59,News,FUSENRmfd0
TV ONE,Inspirasi Pagi,2023.11.11 08:00:00,2023.11.11 08:59:59,General Entertainment,FUSENRmfd0
TV ONE,Best World Boxing,2023.11.11 09:00:00,2023.11.11 09:59:59,General Entertainment,FUSENRmfd0
TV ONE,OnePrix ,2023.11.11 10:00:00,2023.11.11 10:29:59,General Entertainment,FUSENRmfd0
TV ONE,Pesona Nusantara,2023.11.11 10:30:00,2023.11.11 10:59:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Siang,2023.11.11 11:00:00,2023.11.11 12:29:59,News,FUSENRmfd0
TV ONE,Damai Indonesiaku ,2023.11.11 12:30:00,2023.11.11 13:59:59,General Entertainment,FUSENRmfd0
TV ONE,Jalan Syiar ,2023.11.11 14:00:00,2023.11.11 14:29:59,General Entertainment,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Siang,2023.11.11 14:30:00,2023.11.11 15:29:59,News,FUSENRmfd0
TV ONE,Ragam Perkara,2023.11.11 15:30:00,2023.11.11 15:59:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.11 16:00:00,2023.11.11 17:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Malam,2023.11.11 18:00:00,2023.11.11 19:59:59,News,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.11 20:00:00,2023.11.11 20:59:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.11 21:00:00,2023.11.11 21:59:59,News,FUSENRmfd0
TV ONE,Film Spesial - Saur Sepuh 3 Kembang Gunung Lawu,2023.11.11 22:00:00,2023.11.11 23:59:59,Movies,FUSENRmfd0
